shareholder,type,holding_date,pct_of_shares,shares_amount,change,turnover,symbol,company_name,industry,close_price_amount,close_price_currency,shares_value
Goh (Keng Chian Alan),Individual Investor,30 Mar 2022,46.4186%,107914504.0,0,-,1A0,Katrina (1A0/KATR.SI),"Cyclical Consumer Services, Restaurants & Bars",0.028,SGD ,3021606.112
Tan (Kim Wah),Individual Investor,30 Mar 2022,42.0940%,97860504.0,0,LOW,1A0,Katrina (1A0/KATR.SI),"Cyclical Consumer Services, Restaurants & Bars",0.028,SGD ,2740094.112
Soh (Kian Thiam),Individual Investor,30 Mar 2022,0.5856%,1361500.0,"6,000",-,1A0,Katrina (1A0/KATR.SI),"Cyclical Consumer Services, Restaurants & Bars",0.028,SGD ,38122.0
Sasikumaran Pillai S O Manmathan Pillai,Individual Investor,30 Mar 2022,0.5222%,1214000.0,0,-,1A0,Katrina (1A0/KATR.SI),"Cyclical Consumer Services, Restaurants & Bars",0.028,SGD ,33992.0
Tan (Kay Toh),Individual Investor,30 Mar 2022,0.5194%,1207400.0,"223,400",-,1A0,Katrina (1A0/KATR.SI),"Cyclical Consumer Services, Restaurants & Bars",0.028,SGD ,33807.2
Wong Fong Investments Pte. Ltd.,Corporation,31 May 2023,67.3532%,158280000.0,0,LOW,1A1,Wong Fong Ind (1A1),"Industrial Goods, Industrial Machinery & Equipment",0.147,SGD ,23267160.0
Lee (Chong Seng),Individual Investor,16 Mar 2022,4.9021%,11520000.0,0,-,1A1,Wong Fong Ind (1A1),"Industrial Goods, Industrial Machinery & Equipment",0.147,SGD ,1693440.0
Estate of Lee Teck Leong,Other Insider Investor,16 Mar 2022,4.1038%,9644000.0,"9,644,000",-,1A1,Wong Fong Ind (1A1),"Industrial Goods, Industrial Machinery & Equipment",0.147,SGD ,1417668.0
Liew (Ah Kuie),Individual Investor,31 May 2023,1.8638%,4380000.0,"4,380,000",-,1A1,Wong Fong Ind (1A1),"Industrial Goods, Industrial Machinery & Equipment",0.147,SGD ,643860.0
Ng (Eng Seng),Individual Investor,16 Mar 2022,1.4870%,3494500.0,"907,100",-,1A1,Wong Fong Ind (1A1),"Industrial Goods, Industrial Machinery & Equipment",0.147,SGD ,513691.5
Chua (Wei Kee),Individual Investor,14 Sep 2021,20.0197%,199800000.0,0,-,1A4,AGV (1A4),"Holding Companies, Investment Holding Companies",0.01,SGD ,1998000.0
Zhang (Xiao Dan),Individual Investor,27 Sep 2021,5.7703%,57588863.0,0,-,1A4,AGV (1A4),"Holding Companies, Investment Holding Companies",0.01,SGD ,575888.63
Bain Equity Sdn. Bhd.,Corporation,03 May 2023,83.4507%,142200000.0,0,LOW,1AZ,Audience (1AZ/AUDI.SI),"Cyclical Consumer Services, Consumer Publishing",0.325,SGD ,46215000.0
Ooi (Keim Fung Ryan),Individual Investor,03 May 2023,1.3615%,2320000.0,"400,000",LOW,1AZ,Audience (1AZ/AUDI.SI),"Cyclical Consumer Services, Consumer Publishing",0.325,SGD ,754000.0
Ng (Yan Meng William),Individual Investor,03 May 2023,0.3521%,600000.0,"600,000",-,1AZ,Audience (1AZ/AUDI.SI),"Cyclical Consumer Services, Consumer Publishing",0.325,SGD ,195000.0
Lee (Goh Cheng),Individual Investor,18 Mar 2022,0.2347%,400000.0,"400,000",-,1AZ,Audience (1AZ/AUDI.SI),"Cyclical Consumer Services, Consumer Publishing",0.325,SGD ,130000.0
Ng (Seng Hong),Individual Investor,18 Mar 2022,0.1262%,215000.0,"215,000",-,1AZ,Audience (1AZ/AUDI.SI),"Cyclical Consumer Services, Consumer Publishing",0.325,SGD ,69875.0
Ang (Wee Chye Melvin),Individual Investor,30 Jun 2022,22.0260%,614659400.0,0,-,1B0,MM2 Asia (1B0),"Cyclical Consumer Services, Entertainment Production",0.039,SGD ,23971716.6
Oei (Hong Leong),Individual Investor,30 Jun 2022,8.4489%,235776100.0,0,LOW,1B0,MM2 Asia (1B0),"Cyclical Consumer Services, Entertainment Production",0.039,SGD ,9195267.9
Goi (Seng Hui),Individual Investor,30 Jun 2022,6.8085%,190000000.0,"-5,000,000",LOW,1B0,MM2 Asia (1B0),"Cyclical Consumer Services, Entertainment Production",0.039,SGD ,7410000.0
Sim (Chye Hock Ron),Individual Investor,30 Jun 2022,4.6811%,130631700.0,0,LOW,1B0,MM2 Asia (1B0),"Cyclical Consumer Services, Entertainment Production",0.039,SGD ,5094636.3
Starhub Ltd.,Corporation,30 Jun 2022,4.0964%,114315790.0,0,-,1B0,MM2 Asia (1B0),"Cyclical Consumer Services, Entertainment Production",0.039,SGD ,4458315.81
Heah (Sieu Min),Individual Investor,29 Aug 2022,42.2661%,63988980.0,0,-,1B1,HC Surgical (1B1),"Healthcare Services, Healthcare Facilities & Services",0.405,SGD ,25915536.900000002
Chia (Kok Hoong),Individual Investor,31 May 2022,22.9554%,34753440.0,0,-,1B1,HC Surgical (1B1),"Healthcare Services, Healthcare Facilities & Services",0.405,SGD ,14075143.200000001
Yeo (Khee Seng Benny),Individual Investor,29 Aug 2022,4.5175%,6839309.0,"1,299,900",LOW,1B1,HC Surgical (1B1),"Healthcare Services, Healthcare Facilities & Services",0.405,SGD ,2769920.145
